Radar Station | produced by | National Film Board of Canada
Jimmie Rodgers | chart performance | Hot Country and Western Sides
Jimmie Rodgers | chart performance | Hot Rhythm and Blues Sides
Jimmie Rodgers | later genre | adult contemporary music
The Delmore Brothers | members | Alton Delmore
The Delmore Brothers | members | Rabon Delmore
The Delmore Brothers | genre | country music
The Delmore Brothers | role | pioneers
The Delmore Brothers | associated with | Grand Ole Opry
The Delmore Brothers | impact | country music
The Delmore Brothers | impact | popular music
The Delmore Brothers | similar artists | Louvin Brothers
The Delmore Brothers | similar artists | Blue Sky Boys
The Delmore Brothers | similar artists | Monroe Brothers
The Delmore Brothers | similar artists | McGee Brothers
The Delmore Brothers | similar artists | The Stanley Brothers
Zeitschrift für celtische Philologie | 属于 | 学术期刊
Zeitschrift für celtische Philologie | 研究领域 | 凯尔特研究
Zeitschrift für celtische Philologie | 创立者 | Kuno Meyer
Zeitschrift für celtische Philologie | 创立者 | Ludwig Christian Stern
Zeitschrift für celtische Philologie | 研究重点 | 爱尔兰语言与文学
Zeitschrift für celtische Philologie | 研究重点 | 凯尔特语言
Continental Celtic languages | 起源地 | 不列颠和爱尔兰
Continental Celtic languages | 现状 | 已灭绝
Continental Celtic languages | 现状 | 现存
Alexei Kondratiev | 职业 | 作者
Alexei Kondratiev | 职业 | 语言学家
Alexei Kondratiev | 职业 | 教师
Alexei Kondratiev | 教授课程 | 爱尔兰语
Alexei Kondratiev | 教授课程 | 凯尔特历史
Alexei Kondratiev | 工作地点 | Irish Arts Center
Alexei Kondratiev | 工作地点 | Manhattan
Alexei Kondratiev | 工作地点 | New York
Alexei Kondratiev | 著作 | The Apple Branch
Alexei Kondratiev | 教授语言 | 六种现存凯尔特语言
Celtic studies | 别名 | Celtology
Celtic studies | 研究领域 | 凯尔特人文化
Celtic studies | 研究领域 | 语言学
Celtic studies | 研究领域 | 文学
Celtic studies | 研究领域 | 艺术史
Celtic studies | 研究领域 | 考古学
Celtic studies | 研究领域 | 历史
Celtic studies | 研究重点 | 凯尔特语言
凯尔特语言 | 包括 | Irish
凯尔特语言 | 包括 | Scottish Gaelic
凯尔特语言 | 包括 | Manx
凯尔特语言 | 包括 | Welsh
凯尔特语言 | 包括 | Cornish
凯尔特语言 | 包括 | Breton
Continental Celtic languages | status | extinct
Continental Celtic languages | spoken in | continent of Europe
Continental Celtic languages | grouping type | geographic
Continental Celtic languages | spoken by | Keltoi
Continental Celtic languages | spoken by | Celtae
Continental Celtic languages | spoken by | Galli
Continental Celtic languages | spoken by | Galatae
Continental Celtic languages | geographic distribution | arc stretching across from Iberia in the west to the Balkans and Anatolia in the east
six Celtic nations | characterized by | Celtic languages or cultural traits
six Celtic nations | term meaning | a people who share a common identity and culture and are identified with a traditional territory
Journal of Celtic Linguistics | established in | 1992
Journal of Celtic Linguistics | goal | encouraging and publishing original linguistic research in the Celtic languages
Journal of Celtic Linguistics | published by | University of Wales Press
Journal of Celtic Linguistics | has | specialist editors in all six Celtic languages
Simon Rodway | affiliated with | Aberystwyth University
Simon Rodway | replaced | Graham Isaac
Greater Amazonia languages | refer to | indigenous languages of Greater Amazonia
Greater Amazonia | extends from | Atlantic coast
Greater Amazonia | extends to | Andes
Greater Amazonia | southern border | Młynarze
Greater Amazonia | inhabited by | societies with shared cultural traits
Greater Amazonia | characterized by | linguistic diversity
Greater Amazonia languages | number with fewer than 500 speakers | almost half
Greater Amazonia languages | number of isolates | about fifty
Greater Amazonia languages | belong to | about 25 different families
Greater Amazonia | considered as | one of the most linguistically diverse regions in the world
European colonists | wrought havoc on | Amazonian societies
neighboring languages | are not | genetically related
small tribes | can speak | English
Celtic art | associated with | Celts
Celts | speak | Continental Celtic languages
Celtic art | includes | art of ancient peoples
Pan Celtic Festival | also known as | Féile Pan Cheilteach
Pan Celtic Festival | held annually | week following Easter
Pan Celtic Festival | inaugurated in | 1971
Pan Celtic Festival | aims to promote | modern Celtic languages and cultures
Pan Celtic Festival | features artists from | six Celtic nations
six Celtic nations | include | Brittany
six Celtic nations | include | Cornwall
six Celtic nations | include | Ireland
six Celtic nations | include | Isle of Man
six Celtic nations | include | Scotland
six Celtic nations | include | Wales
Batman: Original Motion Picture Score | composed by | Danny Elfman
Batman: Original Motion Picture Score | soundtrack for | Batman
Jon Peters | role | producer
Danny Elfman | composed | The Batman Theme
The Batman Theme | basis for | Batman: The Animated Series theme music
Danny Elfman | featured in | Batman the Ride
Thomas Newman | occupation | composer
Thomas Newman | known for | film scores
Suicide Squad: The Album | is soundtrack of | Suicide Squad
Suicide Squad: The Album | released by | Atlantic Records
Suicide Squad: The Album | released by | Warner Bros. Records
Suicide Squad | composed by | Steven Price
Suicide Squad | released by | WaterTower Music
Suicide Squad | has | eight bonus tracks
Suicide Squad: The Album | received | mixed to positive reviews
Suicide Squad: The Album | received nomination for | Grammy Award for Best Compilation Soundtrack for Visual Media
Suicide Squad: The Album | won | 2017 Nickelodeon Kids' Choice Awards for Favorite Soundtrack
Saw V: Original Motion Picture Score | is film score of | Saw V
Saw V: Original Motion Picture Score | has | 61 tracks
Saw V: Original Motion Picture Score | has | 9 alternate tracks
Saw V: Original Motion Picture Score | featured in film | 49 tracks
Iron Eagle: Original Motion Picture Soundtrack | soundtrack for | Iron Eagle
Iron Eagle: Original Motion Picture Soundtrack | released by | Capitol Records
Iron Eagle: Original Motion Picture Soundtrack | composed by | Basil Poledouris
Iron Eagle: Original Motion Picture Soundtrack | released by | Varèse Sarabande
American Beauty: Original Motion Picture Score | composed by | Thomas Newman
American Beauty: Original Motion Picture Score | soundtrack for | American Beauty
22 Jump Street | composed by | Mark Mothersbaugh
22 Jump Street | released by | La La Land Records
22 Jump Street | later released by | Madison Gate Records
The Fate of the Furious: Original Motion Picture Score | is soundtrack of | The Fate of the Furious
The Fate of the Furious: Original Motion Picture Score | released by | Universal Music Group
Brian Tyler | composed | The Fate of the Furious: Original Motion Picture Score
Brian Tyler | composed | musical score for seventh installment
Beauty and the Beast: Original Motion Picture Soundtrack | soundtrack of | Beauty and the Beast
Beauty and the Beast: Original Motion Picture Soundtrack | released by | Walt Disney Productions
Beauty and the Beast: Original Motion Picture Soundtrack | contains musical numbers | tracks 2 to 9
Beauty and the Beast: Original Motion Picture Soundtrack | contains musical score | tracks 10 to 14
musical numbers | written by | Alan Menken and Howard Ashman
musical score | composed by | Alan Menken
Beauty and the Beast: Original Motion Picture Soundtrack | genre | musical theatre
Beauty and the Beast: Original Motion Picture Soundtrack | credited to | Various Artists
Beauty and the Beast: Original Motion Picture Soundtrack | features recording artists | Celine Dion and Peabo Bryson
Celine Dion and Peabo Bryson | perform | pop rendition of Beauty and the Beast
pop rendition of Beauty and the Beast | serves as | soundtrack's only single
Here | is a | popular song
Harold Grant | wrote music for | Here
Dorcas Cochran | wrote lyrics for | Here
Here | published in | 1954
Here | melody adapted from | Caro nome
Caro nome | from opera | Rigoletto
Rigoletto | composed by | Giuseppe Verdi
Beautiful Young Minds | is a | documentary
Beautiful Young Minds | first shown at | BRITDOC Festival
Beautiful Young Minds | first broadcast on | BBC Two
Beautiful Young Minds | follows | selection process and training for the U.K. team to compete in the 2006 International Mathematical Olympiad
U.K. team | competes in | 2006 International Mathematical Olympiad
2006 International Mathematical Olympiad | held in | Slovenia
young mathematicians | featured in | Beautiful Young Minds
young mathematicians | had | form of autism
documentary | links | autism to mathematical ability
U.K. team | wins | numerous medals at the IMO
U.K. team | wins | four silver medals
U.K. team | wins | one bronze medal
Beautiful Young Minds | directed by | Morgan Matthews
Beautiful Young Minds | edited by | Joby Gee
Beautiful Young Minds | features music by | Sam Hooper
Beautiful Young Minds | screened at | Bath Film Festival
Beautiful Young Minds | inspired | 2014 film X+Y
X+Y | directed by | Morgan Matthews
X+Y | based on | IMO participant Daniel Lightwing
Joby Talbot | 国籍 | 英国
Joby Talbot | 职业 | 作曲家
Joby Talbot | 创作领域 | 器乐和声乐音乐会音乐
Joby Talbot | 创作领域 | 电影和电视配乐
Joby Talbot | 创作领域 | 流行音乐编曲
Joby Talbot | 创作领域 | 舞蹈作品
Robin Hood | 类型 | 动作冒险电影
Robin Hood | 导演 | Otto Bathurst
Robin Hood | 编剧 | Joby Harold
Robin Hood | 编剧 | Peter Craig
Robin Hood | 编剧 | David James Kelly
Robin Hood | 主演 | Taron Egerton
Robin Hood | 发行公司 | Summit Entertainment
King Arthur: Legend of the Sword | 类型 | 史诗奇幻电影
King Arthur: Legend of the Sword | 导演 | Guy Ritchie
King Arthur: Legend of the Sword | 编剧 | Guy Ritchie
King Arthur: Legend of the Sword | 编剧 | Joby Harold
King Arthur: Legend of the Sword | 编剧 | Lionel Wigram
King Arthur: Legend of the Sword | 主演 | Charlie Hunnam
Blog Wars | 类型 | 纪录片
Blog Wars | 上映年份 | 2006
Blog Wars | 主题 | 政治博客
Blog Wars | 影响事件 | 2006年康涅狄格州参议院选举
Blog Wars | 配乐作曲 | Samuel Sim
Awake | 类型 | 阴谋惊悚片
Awake | 上映年份 | 2007
Awake | 编剧 | Joby Harold
Awake | 导演 | Joby Harold
Awake | 主演 | Hayden Christensen
Awake | 主演 | Jessica Alba
Awake | 主演 | Terrence Howard
Awake | 主演 | Lena Olin
Samuel Sim | 职业 | 影视配乐作曲家
Samuel Sim | 成名作品 | Dunkirk
Samuel Sim | 配乐作品 | Awake
Samuel Sim | 配乐作品 | House of Saddam
Samuel Sim | 最新作品 | Home Fires
Home Fires | 发行公司 | Sony Classical Records
Gidget Goes to Rome | release year | 1963
Gidget Goes to Rome | produced by | Columbia Pictures
Gidget Goes to Rome | starring | Cindy Carol
Gidget | created by | Sandra Dee
Gidget Goes to Rome | is part of series | Gidget films
Gidget Goes to Rome | directed by | Paul Wendkos
Gidget Goes to Rome | screenplay by | Ruth Brooks Flippen
Gidget | characters created by | Frederick Kohner
Gidget Goes to Rome | features | James Darren
Gidget Goes to Rome | features | Joby Baker
Gidget Goes to Rome | features | Jean "Jeff" Donnell
Gidget Goes to Rome | released on | VHS
Gidget Goes to Rome | released on | DVD
By the Beautiful Sea | publication year | 1914
By the Beautiful Sea | music by | Harry Carroll
By the Beautiful Sea | lyrics by | Harold R. Atteridge
Brooklyn Cultural District | formerly known as | BAM-Downtown Brooklyn Cultural District
Brooklyn Cultural District | development cost | $100 million
Brooklyn Cultural District | focuses on | arts
Brooklyn Cultural District | focuses on | public spaces
Brooklyn Cultural District | focuses on | affordable housing
Brooklyn Cultural District | located in | Fort Greene
Brooklyn Cultural District | located in | Brooklyn Grange
Brooklyn Cultural District | located in | New York
New York City's Economic Development Corporation | collaborated on | Brooklyn Cultural District
Department of Cultural Affairs | collaborated on | Brooklyn Cultural District
Department of Housing Preservation and Development | collaborated on | Brooklyn Cultural District
Department of City Planning | collaborated on | Brooklyn Cultural District
Downtown Brooklyn Partnership | collaborated on | Brooklyn Cultural District
BAM | is stakeholder of | Brooklyn Cultural District
Brooklyn Arts Gallery | is stakeholder of | Brooklyn Cultural District
Brooklyn Public Library | is stakeholder of | Brooklyn Cultural District
Mark Morris Dance Group | has home in | Brooklyn Cultural District
Theatre for a New Audience | has home in | Brooklyn Cultural District
UrbanGlass | has home in | Brooklyn Cultural District
BRIC Arts | has home in | Brooklyn Cultural District
BAM's Fisher Building | has home in | Brooklyn Cultural District
Carlene LeFevre | 职业 | competitive eater
Carlene LeFevre | 配偶 | Rich LeFevre
Carlene LeFevre | 昵称 | The Madam of Etiquette
Carlene LeFevre | 招牌技巧 | Carlene Pop
Carlene LeFevre | 所属组织 | International Federation of Competitive Eating
Carlene LeFevre | 参与比赛 | Nathan's Hot Dog Eating Contest
First Family of Competitive Eating | 与 | 被称为
Brooklyn Grange | location | New York
Brooklyn Grange | size | 2.5-acre
Brooklyn Grange | produces | high quality vegetables
Brooklyn Grange | produces | honey
Brooklyn Grange | has | two rooftops
Brooklyn Grange | location | Astoria and Long Island City
Brooklyn Grange | location | Brooklyn Navy Yard farm
Brooklyn Grange | operates | New York City’s largest apiary
Brooklyn Grange | has | over thirty naturally-managed honey beehives
Brooklyn Grange | founded by | Ben Flanner
Ben Flanner | position | President and Head Farmer
Brooklyn Grange | founded with | Anastasia Plakias
Anastasia Plakias | position | Vice President
Brooklyn Grange | founded with | Gwen Schantz
Gwen Schantz | position | Chief Operating Officer
Brooklyn Grange | funded by | loans
Brooklyn Grange | funded by | personal contributions
Brooklyn Grange | funded by | community investors
Brooklyn Navy Yard farm | funded by | NYCDEP's Green Infrastructure Grant Program
Brooklyn Grange | provides | urban farming consulting
Brooklyn Grange | provides | green roof consulting
Brooklyn Grange | provides | installation services
Brooklyn Grange | clients | worldwide
Brooklyn Grange | partners with | non-profit organizations
non-profit organizations | location | New York
Brooklyn Grange | promotes | healthy local communities
Brooklyn Grange | promotes | strong local communities
Rich LeFevre | nickname | The Locust
Rich LeFevre | occupation | competitive eater
Rich LeFevre | spouse | Carlene LeFevre
Rich LeFevre | member of | International Federation of Competitive Eating
Rich LeFevre | participated in | Nathan's Hot Dog Eating Contest
Rich LeFevre | participated in | Wing Bowl XIV
Rich LeFevre | achievement | placed second at Wing Bowl XIV
Rich LeFevre | competitor | Joey Chestnut
Rich LeFevre | known as | First Family of Competitive Eating
Metropolitan Transportation Authority | operates | bus routes in Brooklyn
bus routes in Brooklyn | located in | New York
bus routes in Brooklyn | located in | United States
bus routes in Brooklyn | descendants of | streetcar lines
Brooklyn Bus Corporation | subsidiary of | Brooklyn–Manhattan Transit Corporation
New York City Board of Transportation | took over | Brooklyn Bus Corporation
New York City Transit | operates | 55 local Brooklyn routes
B82 | created by | New York City Transit
B84 | created by | New York City Transit
New York | has | New York Yankees
New York Yankees | based in | the Bronx
New York | based in | Queens
New York | has | New York Rangers
New York Rangers | based in | Manhattan
New York | has | New York Islanders
New York Islanders | based in | Brooklyn Grange
New York | has | Buffalo Sabres
Buffalo Sabres | based in | Buffalo
New York | has | New York Knicks
New York Knicks | based in | Manhattan
New York | has | Brooklyn Nets
Brooklyn Nets | based in | Brooklyn Grange
New York | has | New York City FC
New York Red Bulls | represents | New York metropolitan area
New York Red Bulls | plays in | Red Bull Arena
Queens | is part of | New York
Queens | is adjacent to | Brooklyn Grange
Queens | is adjacent to | Nassau County
Queens | shares water borders with | Manhattan
Queens | shares water borders with | the Bronx
Queens | is coterminous with | Queens County
Queens County | is second-most populous county in | New York
Queens | is fourth-most densely populated county in | New York
Queens | is fourth-most densely populated county in | United States
Queens | would be fourth most populous city in | United States
Queens | is most ethnically diverse urban area in | world
Brooklyn Heights | located in | New York
Brooklyn Heights | formerly known as | Brooklyn Village
Brooklyn Heights | noted for | low-rise architecture
Brooklyn Heights | noted for | brownstone rowhouses
brownstone rowhouses | built before | Civil War
Brooklyn Heights | has | notable churches
Brooklyn Heights | has | religious institutions
Brooklyn Arts Gallery | opened in | Brooklyn Heights
Brooklyn Arts Gallery | opened in | 1959
Brooklyn Heights Historic District | created in | 1966
Brooklyn Heights Historic District | first in | New York
Brooklyn Heights Historic District | added to | National Register of Historic Places
Brooklyn Heights Historic District | added in | 1966
Fort Greene | located in | Brooklyn Grange
Fort Greene | part of | Brooklyn Community Board 2
Fort Greene | served by | New York City Police Department's 88th Precinct
Fort Greene | listed on | New York State Registry
Fort Greene | listed on | National Register of Historic Places
Fort Greene | designated as | New York City Historic District
Fort Greene | located in | northwest Brooklyn
Fort Greene | part of | northwest Brooklyn
Fort Greene | near | Lower Manhattan
Fort Greene | north of | Prospect Park
Nathan's Hot Dog Eating Contest | type | competitive eating competition
Nathan's Hot Dog Eating Contest | held annually on | Independence Day
Nathan's Hot Dog Eating Contest | hosted by | Nathan's Famous Corporation
Nathan's Hot Dog Eating Contest | location | Coney Island
Coney Island | part of | Brooklyn Grange
Adrian Mannarino | 国籍 | 法国
Adrian Mannarino | 职业 | 职业网球运动员
Adrian Mannarino | 当前排名 | 世界第31
Adrian Mannarino | 最高排名 | 世界第27
Adrian Mannarino | 获得亚军 | Auckland
Adrian Mannarino | 获得亚军 | Młynarze
Adrian Mannarino | 获得亚军 | Antalya
Adrian Mannarino | 战胜 | Stan Wawrinka
Adrian Mannarino | 战胜 | Milos Raonic
Adrian Mannarino | 战胜 | Juan Martín del Potro
Adrian Mannarino | 战胜 | Gilles Simon
Adrian Mannarino | 战胜 | Juan Mónaco
Adrian Mannarino | 战胜 | Philipp Kohlschreiber
Adrian Mannarino | 战胜 | Gaël Monfils
Juan Martín del Potro | 卫冕冠军 | 2010 US Open
Juan Martín del Potro | 未参赛 | 2010 US Open
Juan Martín del Potro | 接受手术 | 手腕手术
Ken Rosewall | 未卫冕 | 1971 US Open
Pete Sampras | 未卫冕 | 2009 US Open
2010 US Open | 历史首次 | 无美国选手进入前8种子
Juan Martín del Potro | also known as | Delpo
Juan Martín del Potro | nationality | Argentinian
Juan Martín del Potro | profession | tennis player
Juan Martín del Potro | current ranking | world No. 24
Juan Martín del Potro | achievement | winning the 2009 US Open
Juan Martín del Potro | defeated | Rafael Nadal
Juan Martín del Potro | defeated | Roger Federer
Juan Martín del Potro | first to | defeat both Federer and Nadal during the same major
Juan Martín del Potro | only man outside the Big Four to | win a major between the 2005 French Open and the 2013 US Open
Juan Martín del Potro | second Argentine to | win the US Open in the Open Era
Juan Martín del Potro | fifth-youngest man to | win the US Open in the Open Era
Juan Martín del Potro | achievement | winning the bronze medal in men's singles at the 2012 London Olympics
Juan Martín del Potro | achievement | winning the silver medal at the 2016 Rio Olympics
Juan Martín del Potro | part of | his country's successful Davis Cup team
Juan Martín del Potro | career hampered by | a succession of wrist injuries
Roger Federer | was | the five-time defending champion
Juan Martín del Potro | defeated | Roger Federer in the final
2009 US Open | was | del Potro's first major title
Juan Martín del Potro | 国籍 | Argentina
Juan Martín del Potro | 职业 | tennis player
Juan Martín del Potro | 获得冠军 | 19 ATP singles titles
Juan Martín del Potro | 获得冠军 | 2009 US Open
Juan Martín del Potro | 获得亚军 | 2009 ATP World Tour Finals
Juan Martín del Potro | 进入半决赛 | 2009 French Open
Juan Martín del Potro | 进入半决赛 | 2013 Wimbledon Championships
Juan Martín del Potro | 进入四分之一决赛 | 2009 Australian Open
Juan Martín del Potro | 获得奖牌 | 2012 London Olympics bronze medal
Juan Martín del Potro | 获得奖牌 | winning the silver medal at the 2016 Rio Olympics
Juan Martín del Potro | 最高排名 | world No. 24
Roger Federer | participated in | 2017 Laver Cup
Rafael Nadal | participated in | 2017 Laver Cup
Milos Raonic | participated in | 2017 Laver Cup
Roger Federer | belongs to | team Europe
Rafael Nadal | belongs to | team Europe
Alexander Zverev | belongs to | team Europe
Marin Čilić | belongs to | team Europe
Dominic Thiem | belongs to | team Europe
Tomáš Berdych | belongs to | team Europe
Milos Raonic | belongs to | team World
John Isner | belongs to | team World
Jack Sock | belongs to | team World
Sam Querrey | belongs to | team World
Juan Martín del Potro | belongs to | team World
Denis Shapovalov | belongs to | team World
Milos Raonic | withdrew from | 2017 Laver Cup
Nick Kyrgios | replaced | Milos Raonic
Juan Martín del Potro | withdrew from | 2017 Laver Cup
Frances Tiafoe | replaced | Juan Martín del Potro
2016 Davis Cup | sponsored by | BNP Paribas
2016 Davis Cup | rule change | deciding set tiebreak at 6 games all
Argentina | won | 2016 Davis Cup
Argentina | defeated | Croatia
Federico Delbonis | defeated | Ivo Karlović
Juan Martín del Potro | made comeback against | Marin Čilić
2009 Heineken Open | part of | ATP World Tour 250 series
2009 Heineken Open | took place at | ASB Tennis Centre
2009 Heineken Open | held from | 12 January through 17 January 2008
Juan Martín del Potro | won | 2009 Heineken Open
Michaël Llodra | 国籍 | 法国
Michaël Llodra | 职业 | 职业网球运动员
Michaël Llodra | 擅长项目 | 双打
Michaël Llodra | 获得荣誉 | 三个大满贯冠军
Michaël Llodra | 获得荣誉 | 奥运会银牌
Michaël Llodra | 击败选手 | Novak Djokovic
Michaël Llodra | 击败选手 | Juan Martín del Potro
Michaël Llodra | 击败选手 | Tomáš Berdych
Michaël Llodra | 击败选手 | Robin Söderling
Michaël Llodra | 击败选手 | Jo-Wilfried Tsonga
Michaël Llodra | 击败选手 | Nikolay Davydenko
Michaël Llodra | 击败选手 | Janko Tipsarević
Michaël Llodra | 击败选手 | John Isner
Michaël Llodra | 称号 | 最佳截击手
2013 ABN AMRO World Tennis Tournament | 别名 | Rotterdam Open
2013 ABN AMRO World Tennis Tournament | 比赛类型 | 男子网球赛事
2013 ABN AMRO World Tennis Tournament | 比赛场地 | 室内硬地球场
2013 ABN AMRO World Tennis Tournament | 举办地点 | Ahoy Rotterdam arena
2013 ABN AMRO World Tennis Tournament | 举办城市 | Rotterdam
2013 ABN AMRO World Tennis Tournament | 届数 | 第41届
2013 ABN AMRO World Tennis Tournament | 赛事系列 | ATP World Tour 250 series
2013 ABN AMRO World Tennis Tournament | 单打冠军 | Juan Martín del Potro
An Na | 出生年份 | 1972
An Na | 国籍 | 美国
An Na | 出生地 | 韩国
An Na | 职业 | 儿童书籍作者
An Na | 曾从事职业 | 中学英语和历史教师
An Na | 教育经历 | Vermont College of Fine Arts
An Na | 作品 | A Step From Heaven
A Step From Heaven | 出版年份 | 2002
A Step From Heaven | 出版社 | Front Street Press
A Step From Heaven | 获奖 | Michael L. Printz Award
An Na | 活动 | 访问中学
An Na | 鼓励对象 | 亚裔美国学生
An Na | 受影响的作家 | Frank McCourt
An Na | 受影响的作家 | Sandra Cisneros
An Na | 欣赏的作家 | Madeleine L'Engle
An Na | 欣赏的作家 | Jacqueline Woodson
Charles Tazewell | 职业 | 广播剧作家
Charles Tazewell | 职业 | 儿童书籍作者
Charles Tazewell | 作品改编 | 电影
Hank Zipzer's Christmas Catastrophe | 类型 | 英国圣诞电影
Hank Zipzer's Christmas Catastrophe | 基于 | Hank Zipzer系列书籍
Hank Zipzer's Christmas Catastrophe | 基于 | CBBC电视剧
Hank Zipzer's Christmas Catastrophe | 编剧 | Joe Williams
Hank Zipzer's Christmas Catastrophe | 导演 | Matt Bloom
Hank Zipzer's Christmas Catastrophe | 制作公司 | Kindle Entertainment
Hank Zipzer's Christmas Catastrophe | 合作制作 | Walker Productions
Hank Zipzer's Christmas Catastrophe | 合作制作 | DHX Media
Hank Zipzer's Christmas Catastrophe | 获得支持 | Screen Yorkshire’s Yorkshire Content Fund
Hank Zipzer's Christmas Catastrophe | 序号 | 第四部
Hank Zipzer's Christmas Catastrophe | 发行方式 | 电视播放
Kraft Suspense Theatre | 类型 | 电视选集系列
Kraft Suspense Theatre | 制作公司 | Roncom Films
Kraft Suspense Theatre | 播出平台 | NBC
Kraft Suspense Theatre | 赞助商 | Kraft Foods
Roncom Films | 名称来源 | RONnie COMo
Anthony Boucher | 参与 | Kraft Suspense Theatre
The Small One | 类型 | 动画短片
The Small One | 制作公司 | Walt Disney Productions
The Small One | 发行公司 | Buena Vista Distribution
The Small One | 改编来源 | Charles Tazewell的同名儿童书
The Small One | 实验性质 | 新一代迪士尼动画师
Don Bluth | 职业 | 动画师
Richard Rich | 职业 | 动画师
Henry Selick | 职业 | 动画师
Gary Goldman | 职业 | 动画师
John Pomeroy | 职业 | 动画师
The Face on the Milk Carton | based on | book by Caroline B. Cooney
The Face on the Milk Carton | release type | made for television movie
The Face on the Milk Carton | stars | Kellie Martin
Kellie Martin | plays role | Jennifer Sands/Janie Jessmon
Pichilemu Blues | written by | Esteban Valenzuela
Gábor Nógrádi | born in | Młynarze
Gábor Nógrádi | occupation | author
Gábor Nógrádi | occupation | screenwriter
Gábor Nógrádi | occupation | playwright
Gábor Nógrádi | occupation | essayist
Gábor Nógrádi | occupation | publicist
Gábor Nógrádi | occupation | poet
Gábor Nógrádi | known for | children's novels
Gábor Nógrádi | wrote | Pigeon granny
Gábor Nógrádi | wrote | The story of Pie
The story of Pie | original title | PetePite
The story of Pie | award | 2002 Children's Book of the Year
The story of Pie | included in | IBBY Honor List
The story of Pie | ranked in | 100 most popular books in Hungary
Randy Paul Romero | occupation | jockey
Randy Paul Romero | member of | Thoroughbred Racing Hall of Fame
Randy Paul Romero | father | Lloyd J. Romero
Lloyd J. Romero | occupation | Louisiana state trooper
Lloyd J. Romero | trainer of | American Quarter Horses
Lloyd J. Romero | trainer of | Thoroughbreds
Casey's Shadow | based on | Lloyd J. Romero
Wilbooks | industry | children’s book educational publishing
Wilbooks | founded by | Bruce Larkin
Bruce Larkin | occupation | children’s book educational publishing
Wilbooks | publishes | fiction
Wilbooks | publishes | non-fiction
Wilbooks | publishes | humor
Wilbooks | publishes | poetry books
Wilbooks | target audience | children from Pre-kindergarten to third grade
Wilbooks | focus | teaching children how to read
Wilbooks | donation recipient | schools
Wilbooks | donation recipient | one teacher
Wilbooks | donation recipient | literacy organizations
Christian Educational Consortium | abbreviation | CEC
Christian Educational Consortium | founding year | 2002
Christian Educational Consortium | school type | private school
Christian Educational Consortium | education style | collegiate style school
Christian Educational Consortium | target students | Christian home educated students
Christian Educational Consortium | grade levels | grades 6-12
Christian Educational Consortium | meeting days | Tuesday and Wednesday
Christian Educational Consortium | meeting location | Indiana Wesleyan University - Louisville campus
Christian Educational Consortium | student enrollment | 350 students
Christian Educational Consortium | student enrollment | over 500 students
Christian Educational Consortium | offers | over 60 different classes
Christian Educational Consortium | offers | arts
Christian Educational Consortium | offers | electives
Christian Educational Consortium | offers | foreign languages
Christian Educational Consortium | class load options | one to six classes
Christian Educational Consortium | total periods | eight
Christian Educational Consortium | period duration | 90-min to 120 min
Christian Educational Consortium | period distribution | four on Tuesday and four on Wednesday
Christian Educational Consortium | homework policy | assigned suitable for one week
Nazareth High School | is part of | Nazareth Area School District
Nazareth High School | serves grades | 9 through 12
Nazareth High School | has mascot | Blue Eagle
Nazareth High School | has school colors | blue and white
Nazareth High School | accredited by | Middle States Association of Colleges and Schools
Nazareth High School | received award | Keystone Award
Nazareth High School | appeared on | College Boards Advanced Placement Honor Roll
Cleveland High School | located in | Johnston County Schools
Cleveland High School | located in | North Carolina constitution
Cleveland High School | lies within | Cleveland community
Cleveland High School | has postal address | Clayton
Cleveland High School | established in | 2010-2011 school year
Cleveland High School | part of | Johnston County Schools
Cleveland High School | founded in | 1925-1928
Cleveland High School | was | all-grade school
high school grade students | moved to | South Johnston High School
high school grade students | moved to | other high schools in the county
remaining students | continued to attend | Cleveland High School
middle school | built in | 1999
Cleveland High School | opened in | 2010
Corinth Holders High School | opened in | 2010
Cedar Ridge High School | 类型 | 公立中学
Cedar Ridge High School | 包含年级 | 九至十年级
Cedar Ridge High School | 新增年级 | 十一年级
Cedar Ridge High School | 新增年级 | 十二年级
Cedar Ridge High School | 规模排名 | Round Rock Independent School District最大高中
Cedar Ridge High School | 规模排名 | Central Texas最大高中
Cedar Ridge High School | 学生人数 | 超过3000人
Cedar Ridge High School | 录取依据 | 学生家庭住址
Cedar Ridge High School | 建设批准 | 2006年债券
Cedar Ridge High School | 建成时间 | 2010-2011学年开始前
High Tech High North County | also known as | HTHNC
High Tech High North County | is a | charter school
High Tech High North County | part of | High Tech High organization
High Tech High North County | opened in | 2007
High Tech High North County | initial class size | 150 freshmen
High Tech High North County | current student count | more than five hundred and fifty students
High Tech High North County | added sophomores in | 2008-2009 school year
High Tech High North County | added juniors in | 2008-2009 school year
High Tech High North County | added seniors in | 2010-2011 school year
High Tech High North County | is one of | two High Tech High schools built from the ground up
High Tech High North County | other school built from ground up | High Tech High Chula Vista
Topeka High School | abbreviation | THS
Topeka High School | is a | fully accredited high school
Topeka High School | serves | students in grades 9–12
Topeka High School | is one of | four high schools within Topeka Public Schools
Northern Nevada 3A Region | part of | Nevada Interscholastic Activities Association
Northern Nevada 3A Region | governs | northern half of Nevada
Northern 3A league | school level | 2nd largest
Northern 3A league | enrollment range | 461 to 1200
Elko High School | moved down from | Northern 4A
South Tahoe High School | moved down from | Northern 4A
Churchill County High School | moved down from | Northern 4A
